Date,Open,High,Low,Close,Adj_Close,Volume
"Oct 13, 2011",1073.08,1073.08,1073.08,1073.08,927.8,1126665
"Oct 12, 2011",1073.08,1073.08,1073.08,1073.08,927.8,1126665
"Oct 11, 2011",1073.08,1073.08,1073.08,1073.08,927.8,1126665
"Oct 10, 2011",1073.08,1073.08,1073.08,1073.08,927.8,1126665
"Oct 7, 2011",1073.08,1073.08,1073.08,1073.08,927.8,173333
"Oct 6, 2011",1073.08,1073.08,1073.08,1073.08,927.8,173333
"Oct 5, 2011",1073.08,1073.08,1073.08,1073.08,927.8,173333
"Oct 4, 2011",1073.08,1073.08,1073.08,1073.08,927.8,99666
"Oct 3, 2011",1073.08,1073.08,1073.08,1073.08,927.8,99666
"Sep 30, 2011",1073.08,1073.08,1073.08,1073.08,927.8,99666
"Sep 29, 2011",1073.08,1073.08,1073.08,1073.08,927.8,99666
"Sep 28, 2011",1073.08,1073.08,1073.08,1073.08,927.8,21666
"Sep 27, 2011",1073.08,1073.08,1073.08,1073.08,927.8,51999
"Sep 26, 2011",1067.31,1067.31,1067.31,1067.31,922.81,186333
"Sep 23, 2011",1067.31,1067.31,1067.31,1067.31,922.81,186333
"Sep 22, 2011",1067.31,1067.31,1067.31,1067.31,922.81,186333
"Sep 21, 2011",1067.31,1067.31,1015.39,1067.31,922.81,186333
"Sep 20, 2011",1015.39,1038.46,1015.39,1015.39,877.92,43333
"Sep 19, 2011",1073.08,1073.08,1073.08,1073.08,927.8,34666
"Sep 16, 2011",1073.08,1073.08,1073.08,1073.08,927.8,34666
"Sep 15, 2011",1073.08,1073.08,1073.08,1073.08,927.8,34666
"Sep 14, 2011",1073.08,1073.08,1073.08,1073.08,927.8,34666
"Sep 13, 2011",1073.08,1073.08,1073.08,1073.08,927.8,34666
"Sep 12, 2011",1073.08,1073.08,1073.08,1073.08,927.8,34666
"Sep 9, 2011",1073.08,1073.08,1073.08,1073.08,927.8,25999
"Sep 8, 2011",1073.08,1073.08,1073.08,1073.08,927.8,43333
"Sep 7, 2011",1073.08,1073.08,1073.08,1073.08,927.8,43333
"Sep 6, 2011",1073.08,1073.08,1073.08,1073.08,927.8,8666
"Sep 5, 2011",1073.08,1073.08,1073.08,1073.08,927.8,8666
"Aug 26, 2011",1073.08,1073.08,1073.08,1073.08,927.8,8666
"Aug 25, 2011",1073.08,1073.08,1073.08,1073.08,927.8,8666
"Aug 24, 2011",1078.85,1078.85,1078.85,1078.85,932.79,4333
"Aug 23, 2011",1113.46,1113.46,1113.46,1113.46,962.72,4333
"Aug 22, 2011",1113.46,1113.46,1113.46,1113.46,962.72,4333
"Aug 19, 2011",1073.08,1073.08,1073.08,1073.08,927.8,8666
"Aug 18, 2011",1073.08,1073.08,1073.08,1073.08,927.8,8666
"Aug 16, 2011",1096.15,1096.15,1096.15,1096.15,947.75,4333
"Aug 15, 2011",1090.39,1090.39,1090.39,1090.39,942.77,4333
"Aug 12, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 11, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 10, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 9, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 8, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 5, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 4, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 3, 2011",1119.23,1119.23,1119.23,1119.23,967.71,4333
"Aug 2, 2011",1061.54,1061.54,1061.54,1061.54,917.82,4333
"Aug 1, 2011",1038.46,1038.46,1038.46,1038.46,897.87,60666
"Jul 29, 2011",1038.46,1038.46,1038.46,1038.46,897.87,60666
"Jul 28, 2011",1038.46,1038.46,1038.46,1038.46,897.87,60666
"Jul 27, 2011",1038.46,1038.46,1038.46,1038.46,897.87,60666
"Jul 26, 2011",1038.46,1038.46,1038.46,1038.46,897.87,60666
"Jul 25, 2011",1061.54,1153.85,1061.54,1061.54,917.82,73666
"Jul 22, 2011",1165.39,1165.39,1165.39,1165.39,1007.61,12999
"Jul 21, 2011",1165.39,1165.39,1165.39,1165.39,1007.61,4333
"Jul 20, 2011",1165.39,1165.39,1165.39,1165.39,1007.61,21666
"Jul 19, 2011",1165.39,1165.39,1165.39,1165.39,1007.61,108333
"Jul 18, 2011",1165.39,1188.46,1153.85,1165.39,1007.61,108333
"Jul 15, 2011",1153.85,1153.85,1153.85,1153.85,997.64,77999
"Jul 14, 2011",1153.85,1153.85,1153.85,1153.85,997.64,4333
"Jul 13, 2011",1200,1211.54,1165.39,1200,1037.54,95333
"Jul 12, 2011",1153.85,1153.85,1153.85,1153.85,997.64,563332
"Jul 11, 2011",1153.85,1153.85,1153.85,1153.85,997.64,563332
"Jul 11, 2011",1153.85,1153.85,1153.85,1153.85,997.64,563332
"Jul 8, 2011",1153.85,1153.85,1153.85,1153.85,997.64,563332
"Jul 7, 2011",1153.85,1211.54,1153.85,1153.85,997.64,563332
"Jul 6, 2011",1153.85,1153.85,1142.31,1153.85,997.64,73666
"Jul 5, 2011",1153.85,1153.85,1153.85,1153.85,997.64,51999
"Jul 4, 2011",1153.85,1153.85,1153.85,1153.85,997.64,12999
"Jul 1, 2011",1153.85,1153.85,1153.85,1153.85,997.64,12999
"Jun 30, 2011",1142.31,1142.31,1142.31,1142.31,987.66,4333
"Jun 28, 2011",1148.08,1150.965,1148.08,1148.08,992.65,12999.5
"Jun 27, 2011",1153.85,1159.62,1153.85,1153.85,997.64,21666
"Jun 24, 2011",1164.055,1183.715,1164.055,1164.055,984.795,35423
"Jun 23, 2011",1174.26,1207.81,1174.26,1174.26,971.95,49180
"Jun 22, 2011",1179.85,1179.85,1179.85,1179.85,976.57,4470
"Jun 21, 2011",1151.89,1179.85,1151.89,1151.89,953.43,17883
"Jun 20, 2011",1179.85,1179.85,1174.26,1179.85,976.57,17883
"Jun 17, 2011",1140.71,1140.71,1140.71,1140.71,944.18,15647.5
